ucs,dn,temp1,tempmax1,tempmin1,tempavg1,temp2,tempmax2,tempmin2,tempavg2,temp3,tempmax3,tempmin3,tempavg3,temp4,tempmax4,tempmin4,tempavg4,temp5,tempmax5,tempmin5,tempavg5,temp6,tempmax6,tempmin6,tempavg6,temp7,tempmax7,tempmin7,tempavg7,temp8,tempmax8,tempmin8,tempavg8,temp9,tempmax9,tempmin9,tempavg9,temp10,tempmax10,tempmin10,tempavg10,temp11,tempmax11,tempmin11,tempavg11,temp12,tempmax12,tempmin12,tempavg12,temp13,tempmax13,tempmin13,tempavg13,temp14,tempmax14,tempmin14,tempavg14,temp15,tempmax15,tempmin15,tempavg15,temp16,tempmax16,tempmin16,tempavg16,temp17,tempmax17,tempmin17,tempavg17,temp18,tempmax18,tempmin18,tempavg18,temp19,tempmax19,tempmin19,tempavg19,temp20,tempmax20,tempmin20,tempavg20,temp21,tempmax21,tempmin21,tempavg21,temp22,tempmax22,tempmin22,tempavg22,temp23,tempmax23,tempmin23,tempavg23,temp24,tempmax24,tempmin24,tempavg24,temp25,tempmax25,tempmin25,tempavg25,temp26,tempmax26,tempmin26,tempavg26,temp27,tempmax27,tempmin27,tempavg27,temp28,tempmax28,tempmin28,tempavg28,temp29,tempmax29,tempmin29,tempavg29,temp30,tempmax30,tempmin30,tempavg30,temp31,tempmax31,tempmin31,tempavg31,temp32,tempmax32,tempmin32,tempavg32,temp33,tempmax33,tempmin33,tempavg33,temp34,tempmax34,tempmin34,tempavg34,temp35,tempmax35,tempmin35,tempavg35,temp36,tempmax36,tempmin36,tempavg36,temp37,tempmax37,tempmin37,tempavg37,temp38,tempmax38,tempmin38,tempavg38,temp39,tempmax39,tempmin39,tempavg39,temp40,tempmax40,tempmin40,tempavg40,temp41,tempmax41,tempmin41,tempavg41,temp42,tempmax42,tempmin42,tempavg42,temp43,tempmax43,tempmin43,tempavg43,temp44,tempmax44,tempmin44,tempavg44,temp45,tempmax45,tempmin45,tempavg45,temp46,tempmax46,tempmin46,tempavg46,temp47,tempmax47,tempmin47,tempavg47,temp48,tempmax48,tempmin48,tempavg48,temp49,tempmax49,tempmin49,tempavg49,temp50,tempmax50,tempmin50,tempavg50,code
USUH2V2Z01,sys/chassis-14/blade-5/board/memarray-1/mem-19,23,23,23,23,23,22.57143,23,22,24,23.85714,25,23,26,24.15385,26,22,23,22.84616,23,22,23,23,23,23,22,22.53846,23,22,22,22.35714,23,22,22,22.5,23,22,23,23,23,23,23,22.35714,23,22,22,22.35714,23,22,22,22.46667,23,22,22,22.53846,23,22,23,23,23,23,22,22.14286,23,22,22,22.78571,23,22,22,22.35714,23,22,23,23,23,23,23,23,23,23,22,22.38462,23,22,23,22.46154,23,22,23,22.53846,23,22,23,23,23,23,22,22.46667,23,22,22,22.53333,23,22,23,22.35714,23,22,22,22.85714,23,22,23,22.69231,23,22,23,22.69231,23,22,22,22.38462,23,22,22,22.53846,23,22,23,23,23,23,22,22.46667,23,22,22,22.61539,23,22,26,24.07143,26,22,23,23.21429,24,22,23,22.69231,23,22,22,22.28572,23,22,22,22.30769,23,22,22,22.42857,23,22,23,23,23,23,23,22.92857,24,22,25,24.07143,26,22,23,22.71429,23,22,22,22.64286,23,22,23,22.92307,23,22,22,22.28572,23,22,22,22.46154,23,22,22,22.33334,23,22,0
USUH2V2Z01,sys/chassis-14/blade-4/board/memarray-1/mem-19,23,23,23,23,23,23,23,23,23,23.25,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23.28571,24,23,22,22.85714,23,22,23,23,23,23,23,23,23,23,23,23,23,23,22,22.875,23,22,22,22.44444,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22.85714,23,22,23,23,23,23,23,23.09091,24,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22.875,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22.71429,23,22,23,23,23,23,23,22.75,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22.85714,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,23.57143,25,23,23,23,23,23,25,23.57143,25,23,23,23,23,23,0
USUH2V2Z01,sys/chassis-14/blade-3/board/memarray-1/mem-19,22,22.25,23,22,22,22,22,22,23,22.25,23,22,22,22,22,22,22,22,22,22,24,22.41667,24,22,23,22.83333,24,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22.09091,23,22,22,22,22,22,22,22,22,22,23,22.08333,23,22,22,22.25,23,22,23,23,23,23,22,22,22,22,22,22.08333,23,22,22,22,22,22,23,22.08333,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22.08333,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22.08333,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22.33333,23,22,23,22.16667,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,22.16667,23,22,22,22.58333,24,22,22,22,22,22,22,22.21429,24,22,0
USUH2V2Z01,sys/chassis-13/blade-7/board/memarray-1/mem-7,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21.92308,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,21.92857,22,21,21,21.84615,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,21.91667,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,21.92308,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,21.92308,22,21,22,22,22,22,22,21.93333,22,21,22,22,22,22,21,21.92308,22,21,22,22,22,22,22,21.92308,22,21,22,22,22,22,21,21.92308,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21.92308,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0
USUH2V2Z01,sys/chassis-13/blade-4/board/memarray-1/mem-13,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.22222,25,24,24,23.33333,24,23,24,23.77778,24,23,24,24,24,24,24,24,24,24,24,23.33333,24,23,23,23,23,23,23,23,23,23,24,23.9,24,23,24,24,24,24,24,24,24,24,24,23.7,24,23,23,23,23,23,23,23,23,23,23,23.11111,24,23,24,24,24,24,24,24,24,24,24,23.33333,24,23,23,23,23,23,24,24,24,24,24,24,24,24,24,23.5,24,23,24,23.44444,24,23,24,23.44444,24,23,23,23,23,23,23,23.11111,24,23,23,23,23,23,24,24,24,24,24,24,24,24,23,23.2,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,23.33333,24,23,23,23,23,23,23,23.55556,24,23,23,23.11111,24,23,24,23.44444,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.45455,24,23,0
USUH2V2Z01,sys/chassis-12/blade-8/board/memarray-1/mem-22,27,26.6,27,26,27,25.3,27,24,25,25.09091,27,24,27,25,27,24,27,26.3,27,26,27,25.1,27,24,27,25.1,27,24,27,25,27,24,25,25.27273,27,24,26,26.27273,27,26,27,25.2,27,24,27,25,27,24,25,25,26,24,27,26.4,27,26,26,24.9,26,24,25,24.81818,26,24,25,25,27,24,27,25.1,27,24,27,26.18182,27,26,24,24.57143,26,24,26,24.7,26,24,27,24.9,27,24,27,26.2,27,26,27,24.8,27,24,24,25.58333,27,24,25,24.90909,27,24,27,25,27,24,27,26.2,27,26,27,24.8,27,24,26,24.7,26,24,26,24.7,26,24,27,26.1,27,26,27,25.5,27,24,25,24.90909,27,24,26,24.7,26,24,26,24.7,26,24,26,26.09091,27,26,26,24.8,27,24,27,24.8,27,24,27,24.8,27,24,27,25.8,27,24,27,26.2,27,25,25,24.81818,27,24,25,24.81818,26,24,25,24.90909,27,24,26,26.36364,27,26,27,24.9,27,24,27,24.8,27,24,26,24.66667,26,24,24,25.16667,27,24,0
USUH2V2Z01,sys/chassis-12/blade-7/board/memarray-1/mem-4,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23.2,24,23,23,23.2,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22.8,23,22,23,23,23,23,23,23,23,23,23,23,23,23,22,22.6,23,22,23,23,23,23,24,23,24,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22.8,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23.16667,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0
USUH2V2Z01,sys/chassis-12/blade-6/board/memarray-1/mem-19,27,27.5,28,27,27,27,27,27,28,28,28,28,28,27.66667,28,27,27,27,27,27,27,26.75,27,26,26,26.25,27,26,27,27,27,27,25,25.2,26,25,26,25.2,26,25,25,25,25,25,27,27,27,27,24,25,26,24,25,25.5,26,25,26,25.66667,26,25,26,26,26,26,27,27,27,27,26,25.75,26,25,25,25.25,26,25,26,26.25,27,26,27,27,27,27,27,27,27,27,28,28,28,28,27,26.75,27,26,26,26,27,25,27,27.6,28,27,27,27.75,28,27,26,26,26,26,26,25.5,26,25,27,27,27,27,27,25.75,27,25,24,24.75,25,24,25,24.5,25,24,24,24.6,25,24,27,27,27,27,25,25.25,26,25,25,25.25,26,25,26,26,26,26,27,27.75,28,27,28,27.5,28,27,27,27,27,27,27,27.25,28,27,28,27.75,28,27,28,28,28,28,27,27.5,28,27,27,26.8,27,26,27,27,27,27,28,28,28,28,28,28,28,28,27,27,27,27,0
USUH2V2Z01,sys/chassis-12/blade-6/board/memarray-1/mem-16,25,25,25,25,24,24.75,25,24,24,24,24,24,25,25,25,25,24,24.5,25,24,25,24.25,25,24,24,24,24,24,23,23.25,24,23,25,24.8,25,24,24,23.2,24,23,23,23,23,23,23,23.25,24,23,25,24.4,25,24,23,23.75,24,23,24,23.33333,24,23,23,23.6,24,23,23,23.4,24,23,25,24.5,25,24,23,23.25,24,23,24,24,24,24,25,24.75,25,24,25,25,25,25,25,25,25,25,25,24.5,25,24,24,23.83333,24,23,24,24.2,25,24,25,25,25,25,24,23.75,24,23,24,23.5,24,23,23,23.5,24,23,23,24,25,23,24,24.5,25,24,23,23,23,23,22,22.6,23,22,23,23,23,23,25,24.25,25,24,23,23.25,24,23,24,24,24,24,24,24,24,24,25,24.5,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24.2,25,24,24,24.5,25,24,25,25,25,25,25,25,25,25,25,25,25,25,0
USUH2V2Z01,sys/chassis-12/blade-6/board/memarray-1/mem-13,26,26,26,26,26,26,26,26,26,25.25,26,25,26,26,26,26,26,26,26,26,26,25.25,26,25,25,25,25,25,24,24.25,25,24,24,24.2,25,24,26,26,26,26,24,23.75,24,23,24,24.25,25,24,23,24,25,23,26,26,26,26,26,25.33333,26,24,24,24.2,25,24,24,24.2,25,24,25,24.75,25,24,26,26,26,26,24,24.875,26,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,24.83333,25,24,25,25.4,26,25,26,26,26,26,26,26,26,26,24,24.25,25,24,24,24.5,25,24,24,24,24,24,24,24,24,24,26,26,26,26,23,23.4,24,23,24,23.33333,24,23,24,24.25,25,24,26,26,26,26,25,25,25,25,25,24.75,25,24,26,25.75,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25.75,26,25,26,26,26,26,26,26,26,26,26,26,26,26,0
